scene_id,mode,n,grid_size,alg,plans,steps,elapsed_times,costs
0,mobile,3,"[100, 200]",Labbe+SS,"[[33133, 14427, 32773, 44429]]",[9],[0.0871725082397461],[12.100000000000001]
1,mobile,3,"[100, 200]",Labbe+SS,"[[54649, 25052, 4184]]",[6],[0.009704113006591797],[12.520000000000001]
2,mobile,3,"[100, 200]",Labbe+SS,"[[3969, 30425, 53785]]",[6],[0.009121894836425781],[12.22]
3,mobile,3,"[100, 200]",Labbe+SS,"[[14437, 25627, 51364]]",[6],[0.013023853302001953],[12.2]
4,mobile,3,"[100, 200]",Labbe+SS,"[[26919, 44371, 11969, 27228]]",[10],[0.02330613136291504],[16.56]
5,mobile,3,"[100, 200]",Labbe+SS,"[[56052, 31951, 7653, 26786]]",[8],[0.017581701278686523],[17.44]
6,mobile,3,"[100, 200]",Labbe+SS,"[[43645, 33049, 11980]]",[6],[0.010588407516479492],[12.100000000000001]
7,mobile,3,"[100, 200]",Labbe+SS,"[[7681, 56374, 8243, 28974]]",[9],[0.01723623275756836],[17.36]
8,mobile,3,"[100, 200]",Labbe+SS,"[[56172, 14331, 27785, 8836]]",[9],[0.023808002471923828],[16.34]
9,mobile,3,"[100, 200]",Labbe+SS,"[[23699, 48158, 13228, 25832]]",[9],[0.02283787727355957],[14.16]
10,mobile,3,"[100, 200]",Labbe+SS,"[[45563, 27922, 13759, 29443]]",[8],[0.017581462860107422],[14.459999999999999]
11,mobile,3,"[100, 200]",Labbe+SS,"[[55383, 3, 12434, 26179]]",[9],[0.02123570442199707],[17.18]
12,mobile,3,"[100, 200]",Labbe+SS,"[[13044, 45633, 31386]]",[6],[0.011396169662475586],[12.26]
13,mobile,3,"[100, 200]",Labbe+SS,"[[3, 10428, 34586, 46362]]",[9],[0.01923847198486328],[14.78]
14,mobile,3,"[100, 200]",Labbe+SS,"[[35977, 11121, 48236, 5969]]",[8],[0.017969369888305664],[15.84]
15,mobile,3,"[100, 200]",Labbe+SS,"[[25640, 15494, 56373, 6756]]",[8],[0.017605066299438477],[13.400000000000002]
16,mobile,3,"[100, 200]",Labbe+SS,"[[46461, 11773, 24181, 52628]]",[9],[0.01789712905883789],[16.56]
17,mobile,3,"[100, 200]",Labbe+SS,"[[5985, 45236, 33779]]",[6],[0.009905815124511719],[12.719999999999999]
18,mobile,3,"[100, 200]",Labbe+SS,"[[44067, 5824, 25964, 54630]]",[9],[0.022639751434326172],[13.32]
19,mobile,3,"[100, 200]",Labbe+SS,"[[34108, 4828, 35983, 52837]]",[9],[0.018798351287841797],[14.940000000000001]
20,mobile,3,"[100, 200]",Labbe+SS,"[[2, 53246, 33586, 5024, 24376]]",[11],[0.0377657413482666],[17.66]
21,mobile,3,"[100, 200]",Labbe+SS,"[[5164, 46832, 33956]]",[6],[0.011417865753173828],[11.580000000000002]
22,mobile,3,"[100, 200]",Labbe+SS,"[[7293, 34157, 46770, 9051]]",[11],[0.028621912002563477],[12.280000000000001]
23,mobile,3,"[100, 200]",Labbe+SS,"[[15624, 35165, 46764]]",[6],[0.010128259658813477],[13.64]
24,mobile,3,"[100, 200]",Labbe+SS,"[[33972, 45361, 8225]]",[6],[0.010738849639892578],[9.74]
25,mobile,3,"[100, 200]",Labbe+SS,"[[15078, 26837, 54836, 9367]]",[10],[0.026541471481323242],[16.78]
26,mobile,3,"[100, 200]",Labbe+SS,"[[44439, 12449, 28156]]",[6],[0.010860204696655273],[10.560000000000002]
27,mobile,3,"[100, 200]",Labbe+SS,"[[14854, 46151, 23841, 53172]]",[8],[0.0213015079498291],[13.620000000000001]
28,mobile,3,"[100, 200]",Labbe+SS,"[[16037, 55774, 27560]]",[6],[0.009095907211303711],[12.040000000000001]
29,mobile,3,"[100, 200]",Labbe+SS,"[[45775, 14652, 26650, 49566]]",[10],[0.02031993865966797],[13.3]
30,mobile,3,"[100, 200]",Labbe+SS,"[[34765, 4437, 53841]]",[6],[0.009039878845214844],[12.56]
31,mobile,3,"[100, 200]",Labbe+SS,"[[47586, 34981, 8453]]",[6],[0.011434555053710938],[10.98]
32,mobile,3,"[100, 200]",Labbe+SS,"[[29784, 46527, 11046, 43638]]",[8],[0.01764059066772461],[13.919999999999998]
33,mobile,3,"[100, 200]",Labbe+SS,"[[6919, 54368, 26561, 8828]]",[13],[0.028054475784301758],[11.840000000000002]
34,mobile,3,"[100, 200]",Labbe+SS,"[[24634, 54365, 5185]]",[6],[0.008441448211669922],[8.8]
35,mobile,3,"[100, 200]",Labbe+SS,"[[23838, 14237, 53356]]",[6],[0.011730194091796875],[16.240000000000002]
36,mobile,3,"[100, 200]",Labbe+SS,"[[13630, 27558, 55781]]",[6],[0.009913444519042969],[13.420000000000002]
37,mobile,3,"[100, 200]",Labbe+SS,"[[44376, 14714, 29843, 13786]]",[9],[0.023772716522216797],[13.740000000000002]
38,mobile,3,"[100, 200]",Labbe+SS,"[[53040, 26576, 3840]]",[6],[0.009570837020874023],[10.040000000000003]
39,mobile,3,"[100, 200]",Labbe+SS,"[[24849, 47776, 15025]]",[6],[0.009549140930175781],[9.72]
