scene_id,mode,n,grid_size,alg,plans,steps,elapsed_times,costs
0,mobile,3,"[100, 200]",StrapGA_sort_4b,"[[31913, 14427, 32773, 44429]]",[3195],[7.285008668899536],[12.100000000000001]
1,mobile,3,"[100, 200]",StrapGA_sort_4b,"[[25052, 54649, 4184]]",[120],[0.24082326889038086],[9.100000000000001]
2,mobile,3,"[100, 200]",StrapGA_sort_4b,"[[3969, 53785, 30425]]",[168],[0.33928751945495605],[10.8]
3,mobile,3,"[100, 200]",StrapGA_sort_4b,"[[14437, 25627, 51364]]",[1513],[3.1005516052246094],[12.2]
4,mobile,3,"[100, 200]",StrapGA_sort_4b,"[[8301, 27228, 44371, 11969]]",[9464],[19.484153747558594],[13.96]
5,mobile,3,"[100, 200]",StrapGA_sort_4b,"[[9903, 26786, 56052, 7653]]",[958],[1.927649736404419],[10.040000000000001]
6,mobile,3,"[100, 200]",StrapGA_sort_4b,"[[43645, 7586, 33049, 11980]]",[1202],[2.4055914878845215],[11.060000000000002]
7,mobile,3,"[100, 200]",StrapGA_sort_4b,"[[51118, 8243, 56374, 28974]]",[8669],[17.715710639953613],[12.54]
8,mobile,3,"[100, 200]",StrapGA_sort_4b,"[[33897, 56172, 8836, 27785]]",[2449],[5.738990545272827],[12.72]
9,mobile,3,"[100, 200]",StrapGA_sort_4b,"[[4516, 25832, 48158, 13228]]",[10720],[22.20330810546875],[12.86]
