scene_id,mode,n,grid_size,alg,plans,steps,elapsed_times,costs
0,mobile,4,"[100, 200]",StrapGA+S_sort_4b,"[[16693, 64661, 52658, 14627, 23229]]",[157098],[360.0159945487976],[17.74]
1,mobile,4,"[100, 200]",StrapGA+S_sort_4b,"[[53296, 66959, 7629, 4, 55841, 29390]]",[112620],[255.7760374546051],[14.84]
2,mobile,4,"[100, 200]",StrapGA+S_sort_4b,"[[13630, 8, 10, 30560, 63987, 52195]]",[54346],[125.02190971374512],[12.66]
3,mobile,4,"[100, 200]",StrapGA+S_sort_4b,"[[10, 31324, 74794, 13760, 24633, 7, 27850, 44192]]",[161626],[360.0035481452942],[16.96]
4,mobile,4,"[100, 200]",StrapGA+S_sort_4b,"[[43715, 9, 16073, 31566, 7429, 67860, 44779]]",[122907],[280.7757074832916],[13.920000000000002]
5,mobile,4,"[100, 200]",StrapGA+S_sort_4b,"[[7490, 6, 24056, 10250, 56840, 75588]]",[155576],[360.005925655365],[12.740000000000002]
6,mobile,4,"[100, 200]",StrapGA+S_sort_4b,"[[8933, 36979, 64832, 50788, 4568]]",[79144],[176.25023436546326],[14.8]
7,mobile,4,"[100, 200]",StrapGA+S_sort_4b,"[[10, 5632, 47959, 74776, 26393]]",[19845],[42.13805961608887],[12.400000000000002]
8,mobile,4,"[100, 200]",StrapGA+S_sort_4b,"[[4, 9, 9837, 63456, 56439, 28195]]",[164388],[360.0126066207886],[15.52]
9,mobile,4,"[100, 200]",StrapGA+S_sort_4b,"[[23829, 63062, 16241, 49461]]",[91942],[204.05849432945251],[13.9]
