scene_id,mode,n,grid_size,alg,plans,steps,elapsed_times,costs
0,mobile,8,"[100, 200]",Labbe,"[[90505, 57069, 132235, 64307, 157098, 24822, 111209, 6399]]",[60],[0.1237947940826416],[21.0]
1,mobile,8,"[100, 200]",Labbe,"[[137802, 97028, 24208, 144704, 72803, 54914, 115489, 11227, 43041]]",[42],[0.08146333694458008],[29.300000000000004]
2,mobile,8,"[100, 200]",Labbe,"[[117806, 93044, 30482, 145094, 69705, 122408, 50958, 12416, 43631]]",[71],[0.11800837516784668],[27.4]
3,mobile,8,"[100, 200]",Labbe,"[[75208, 102737, 29808, 144631, 125068, 4693, 109505, 50142, 95276, 54899]]",[74],[0.17673993110656738],[26.620000000000005]
4,mobile,8,"[100, 200]",Labbe,"[[70608, 157644, 22800, 130953, 55871, 95302, 103288, 15620, 123436]]",[72],[0.16855239868164062],[28.180000000000003]
5,mobile,8,"[100, 200]",Labbe,"[[34602, 142601, 111104, 10442, 47201, 136479, 91977, 75032, 83072]]",[83],[0.1449127197265625],[32.980000000000004]
6,mobile,8,"[100, 200]",Labbe,"[[122703, 147674, 90508, 75685, 22811, 115383, 49401, 9225, 116827]]",[64],[0.11019444465637207],[26.660000000000004]
7,mobile,8,"[100, 200]",Labbe,"[[105472, 54899, 88908, 27206, 122632, 12417, 75867, 157404, 67842]]",[57],[0.10250258445739746],[27.340000000000003]
8,mobile,8,"[100, 200]",Labbe,"[[9079, 92038, 32607, 116631, 42840, 134291, 64005, 157199]]",[53],[0.08708953857421875],[27.12]
9,mobile,8,"[100, 200]",Labbe,"[[50500, 84268, 63697, 28870, 129999, 155110, 16483, 106034]]",[50],[0.07906198501586914],[28.900000000000002]
10,mobile,8,"[100, 200]",Labbe,"[[104399, 68034, 51571, 123887, 83110, 14816, 48687, 25336, 154068, 35694]]",[98],[0.2189772129058838],[35.44]
11,mobile,8,"[100, 200]",Labbe,"[[144870, 131496, 35437, 96695, 74068, 14214, 103295, 48420]]",[75],[0.10352253913879395],[23.240000000000006]
12,mobile,8,"[100, 200]",Labbe,"[[23167, 142701, 47510, 92901, 128477, 117694, 63476, 16868, 24423]]",[117],[0.19602441787719727],[33.82]
13,mobile,8,"[100, 200]",Labbe,"[[143840, 115611, 42936, 13035, 64077, 123805, 88423, 36083, 51484]]",[89],[0.16034173965454102],[35.60000000000001]
14,mobile,8,"[100, 200]",Labbe,"[[136305, 73002, 55435, 102469, 25098, 90640, 145403, 10285]]",[50],[0.08497262001037598],[28.5]
15,mobile,8,"[100, 200]",Labbe,"[[92607, 123432, 4002, 142302, 117157, 52084, 36696, 67089, 117473]]",[89],[0.16809606552124023],[28.5]
16,mobile,8,"[100, 200]",Labbe,"[[70433, 96443, 32376, 123482, 17600, 148272, 52901, 23511, 117675]]",[89],[0.1731419563293457],[30.12]
17,mobile,8,"[100, 200]",Labbe,"[[54268, 12216, 157595, 77022, 85638, 123610, 109364, 27099, 117509, 152495]]",[79],[0.15610051155090332],[36.32]
18,mobile,8,"[100, 200]",Labbe,"[[95910, 103712, 13473, 148436, 23824, 65766, 125801, 51812, 76420, 114043]]",[108],[0.2101438045501709],[35.080000000000005]
19,mobile,8,"[100, 200]",Labbe,"[[86437, 132036, 142412, 37016, 111732, 5684, 107013, 52001, 75683, 50711]]",[65],[0.1256723403930664],[37.46000000000001]
20,mobile,8,"[100, 200]",Labbe,"[[115600, 8507, 57030, 62764, 25600, 87826, 123227, 143090, 76084]]",[74],[0.18392133712768555],[34.36]
