scene_id,mode,n,grid_size,alg,plans,steps,elapsed_times,costs
0,mobile,8,"[100, 200]",StrapGA+SS_sort_4b,"[[132235, 22, 146785, 64307, 57069, 90505, 24822, 157098, 111209, 6399]]",[180196],[360.0143918991089],[17.92]
1,mobile,8,"[100, 200]",StrapGA+SS_sort_4b,"[[142564, 3, 114932, 137802, 72803, 43041, 11227, 97028, 115489, 24208, 144704]]",[159276],[360.04552578926086],[24.64]
2,mobile,8,"[100, 200]",StrapGA+SS_sort_4b,"[[30482, 117806, 93044, 3, 43631, 122408, 12416, 69705, 145094]]",[191798],[360.0132083892822],[16.380000000000003]
3,mobile,8,"[100, 200]",StrapGA+SS_sort_4b,"[[25565, 144923, 50129, 4693, 109505, 125068, 144631, 29808, 75208, 95276, 54899]]",[161695],[360.02219104766846],[23.1]
4,mobile,8,"[100, 200]",StrapGA+SS_sort_4b,"[[70608, 92956, 157644, 110321, 90970, 123436, 22800, 55871, 15620, 95302, 103288]]",[175496],[360.02052068710327],[23.660000000000004]
5,mobile,8,"[100, 200]",StrapGA+SS_sort_4b,"[[142601, 3038, 34602, 111104, 136479, 47201, 10442, 88367, 75032, 83072]]",[195105],[360.029976606369],[19.140000000000004]
6,mobile,8,"[100, 200]",StrapGA+SS_sort_4b,"[[147158, 22811, 24, 75685, 52979, 90508, 122703, 147674, 116827, 49401, 9225]]",[171989],[360.04007482528687],[21.500000000000004]
7,mobile,8,"[100, 200]",StrapGA+SS_sort_4b,"[[105472, 70944, 54899, 88908, 27206, 12417, 157404, 67842, 122632]]",[186796],[360.0326282978058],[21.400000000000006]
8,mobile,8,"[100, 200]",StrapGA+SS_sort_4b,"[[63567, 9079, 50964, 32607, 116631, 92038, 134291, 157199, 42840, 64005]]",[179665],[360.00481247901917],[24.52]
9,mobile,8,"[100, 200]",StrapGA+SS_sort_4b,"[[5943, 106034, 32933, 50500, 84268, 129999, 155110, 28870, 63697, 16483]]",[171563],[360.0042963027954],[27.34]
