scene_id,mode,n,grid_size,alg,plans,steps,elapsed_times,costs
0,mobile,3,"[101, 201]",StrapGA+SS_4b,"[[36650, 46664, 8018]]",[575],[1.2303261756896973],[10.83762376237624]
1,mobile,3,"[101, 201]",StrapGA+SS_4b,"[[51279, 14769, 30891, 54909]]",[57123],[122.05585551261902],[15.671287128712875]
2,mobile,3,"[101, 201]",StrapGA+SS_4b,"[[26766, 4922, 56750]]",[2530],[5.287091016769409],[12.322772277227724]
3,mobile,3,"[101, 201]",StrapGA+SS_4b,"[[51591, 4280, 35018, 52790]]",[2639],[5.685520648956299],[12.879207920792078]
4,mobile,3,"[101, 201]",StrapGA+SS_4b,"[[44874, 31896, 16516, 3724, 51887, 9915]]",[6516],[14.38228726387024],[12.685148514851486]
5,mobile,3,"[101, 201]",StrapGA+SS_4b,"[[1, 34145, 11304, 48965]]",[3470],[7.678122520446777],[13.097029702970298]
6,mobile,3,"[101, 201]",StrapGA+SS_4b,"[[15702, 24294, 56396]]",[584],[1.2690870761871338],[12.124752475247526]
7,mobile,3,"[101, 201]",StrapGA+SS_4b,"[[5674, 45992, 26445]]",[146],[0.29460883140563965],[9.847524752475248]
8,mobile,3,"[101, 201]",StrapGA+SS_4b,"[[23981, 54376, 4756]]",[37],[0.0719454288482666],[10.817821782178218]
9,mobile,3,"[101, 201]",StrapGA+SS_4b,"[[50103, 36112, 4559]]",[440],[0.9066057205200195],[9.035643564356436]
10,mobile,3,"[101, 201]",StrapGA+SS_4b,"[[26768, 44599, 7544]]",[148],[0.3091471195220947],[10.065346534653466]
11,mobile,3,"[101, 201]",StrapGA+SS_4b,"[[24590, 53727, 15605, 26881]]",[1454],[3.2356574535369873],[10.027722772277228]
12,mobile,3,"[101, 201]",StrapGA+SS_4b,"[[55443, 27086, 57119, 10956, 50099]]",[15464],[35.3837993144989],[12.485148514851488]
13,mobile,3,"[101, 201]",StrapGA+SS_4b,"[[54958, 12894, 25081]]",[43],[0.08785414695739746],[9.154455445544555]
14,mobile,3,"[101, 201]",StrapGA+SS_4b,"[[53854, 25290, 55626, 13557, 51686]]",[10927],[23.961724758148193],[11.792079207920793]
15,mobile,3,"[101, 201]",StrapGA+SS_4b,"[[46461, 26304, 10775]]",[13577],[30.494281768798828],[13.57029702970297]
16,mobile,3,"[101, 201]",StrapGA+SS_4b,"[[2, 57134, 31902, 12243, 32475, 5201]]",[9804],[21.507643699645996],[12.982178217821783]
17,mobile,3,"[101, 201]",StrapGA+SS_4b,"[[48534, 36046, 14435]]",[41],[0.08059573173522949],[7.66930693069307]
18,mobile,3,"[101, 201]",StrapGA+SS_4b,"[[32643, 4941, 53428]]",[4474],[10.022966861724854],[12.996039603960398]
19,mobile,3,"[101, 201]",StrapGA+SS_4b,"[[26703, 56834, 9935]]",[162],[0.3391079902648926],[7.332673267326733]
20,mobile,3,"[101, 201]",StrapGA+SS_4b,"[[34356, 11138, 48285]]",[277],[0.5844674110412598],[9.075247524752475]
21,mobile,3,"[101, 201]",StrapGA+SS_4b,"[[36630, 5715, 33453, 50230]]",[2378],[5.406092166900635],[12.483168316831684]
22,mobile,3,"[101, 201]",StrapGA+SS_4b,"[[54909, 5411, 34484, 55632, 6772]]",[36142],[77.65407133102417],[13.693069306930695]
23,mobile,3,"[101, 201]",StrapGA+SS_4b,"[[24971, 54908, 9736]]",[234],[0.48799967765808105],[9.372277227722773]
24,mobile,3,"[101, 201]",StrapGA+SS_4b,"[[29272, 53445, 13904]]",[1047],[2.2881295680999756],[10.817821782178218]
25,mobile,3,"[101, 201]",StrapGA+SS_4b,"[[44404, 15630, 26231]]",[68],[0.13799214363098145],[6.758415841584158]
26,mobile,3,"[101, 201]",StrapGA+SS_4b,"[[28723, 51923, 15407, 35750]]",[23295],[51.948976039886475],[13.71089108910891]
27,mobile,3,"[101, 201]",StrapGA+SS_4b,"[[8349, 27283, 55645, 4709]]",[1095],[2.4881863594055176],[7.908910891089111]
28,mobile,3,"[101, 201]",StrapGA+SS_4b,"[[51586, 30378, 10717]]",[14085],[32.042765855789185],[12.936633663366338]
29,mobile,3,"[101, 201]",StrapGA+SS_4b,"[[48629, 14008, 49624, 23990]]",[486],[0.9577927589416504],[8.126732673267327]
30,mobile,3,"[101, 201]",StrapGA+SS_4b,"[[12187, 24228, 55655, 11106, 30070]]",[30392],[69.39398765563965],[14.10891089108911]
31,mobile,3,"[101, 201]",StrapGA+SS_4b,"[[32127, 14106, 54951, 12785, 47871]]",[4761],[10.7984037399292],[12.02970297029703]
32,mobile,3,"[101, 201]",StrapGA+SS_4b,"[[48532, 29379, 11221, 46339]]",[758],[1.6990246772766113],[9.790099009900992]
33,mobile,3,"[101, 201]",StrapGA+SS_4b,"[[33733, 45185, 6282]]",[622],[1.2775838375091553],[7.530693069306931]
34,mobile,3,"[101, 201]",StrapGA+SS_4b,"[[29512, 56603, 9122]]",[403],[1.0050036907196045],[9.847524752475248]
35,mobile,3,"[101, 201]",StrapGA+SS_4b,"[[54145, 3996, 28974, 54640, 9954]]",[14304],[32.177552223205566],[12.900990099009901]
36,mobile,3,"[101, 201]",StrapGA+SS_4b,"[[12486, 56661, 28002, 16357, 45567]]",[35378],[77.51247239112854],[12.881188118811881]
37,mobile,3,"[101, 201]",StrapGA+SS_4b,"[[47214, 15608, 30019]]",[281],[0.6144258975982666],[9.253465346534654]
38,mobile,3,"[101, 201]",StrapGA+SS_4b,"[[44522, 27500, 55449, 13553, 55635]]",[2345],[5.206329345703125],[11.277227722772277]
39,mobile,3,"[101, 201]",StrapGA+SS_4b,"[[12087, 33754, 45602]]",[95],[0.18205571174621582],[7.372277227722773]
