scene_id,mode,n,grid_size,alg,plans,steps,elapsed_times,costs
0,mobile,4,"[101, 201]",StrapGA_8b,"[[67685, 55808, 4468, 26011]]",[230099],[360.0202226638794],[12.81980198019802]
1,mobile,4,"[101, 201]",StrapGA_8b,"[[15390, 77334, 7385, 46946, 3488, 32598]]",[231924],[360.02352809906006],[13.437623762376237]
2,mobile,4,"[101, 201]",StrapGA_8b,"[[66118, 6785, 76547, 46627, 77491, 30015]]",[232063],[360.0016932487488],[15.318811881188118]
3,mobile,4,"[101, 201]",StrapGA_8b,"[[66845, 46588, 15210, 27196]]",[604],[0.9382274150848389],[7.968316831683169]
4,mobile,4,"[101, 201]",StrapGA_8b,"[[44046, 9412, 34858, 73997]]",[46249],[72.34867906570435],[12.502970297029703]
5,mobile,4,"[101, 201]",StrapGA_8b,"[[68226, 13550, 25113, 48985, 67180]]",[71875],[113.57540035247803],[10.702970297029704]
6,mobile,4,"[101, 201]",StrapGA_8b,"[[66882, 51707, 36878, 5419, 65774, 52998, 35564, 6164]]",[231606],[360.0119483470917],[15.342574257425742]
7,mobile,4,"[101, 201]",StrapGA_8b,"[[57359, 68129, 32203, 14843, 52349]]",[228238],[360.01702404022217],[17.21782178217822]
8,mobile,4,"[101, 201]",StrapGA_8b,"[[70187, 56947, 27009, 16188, 68698]]",[224174],[360.00921416282654],[13.831683168316832]
9,mobile,4,"[101, 201]",StrapGA_8b,"[[66123, 57266, 28169, 13528, 24644]]",[224120],[360.00235652923584],[15.83168316831683]
10,mobile,4,"[101, 201]",StrapGA_8b,"[[14661, 49138, 36923, 68493]]",[29216],[49.73042297363281],[12.324752475247525]
11,mobile,4,"[101, 201]",StrapGA_8b,"[[77213, 24672, 12838, 53350, 65372]]",[66696],[101.40854525566101],[12.346534653465346]
12,mobile,4,"[101, 201]",StrapGA_8b,"[[33147, 16367, 75409, 50971, 6673]]",[79280],[127.30011439323425],[12.900990099009903]
13,mobile,4,"[101, 201]",StrapGA_8b,"[[3759, 65918, 13248, 32108, 46186]]",[245431],[360.02228236198425],[14.207920792079207]
14,mobile,4,"[101, 201]",StrapGA_8b,"[[45543, 14567, 32758, 65498, 48346]]",[225617],[360.0039167404175],[13.633663366336636]
15,mobile,4,"[101, 201]",StrapGA_8b,"[[73477, 7317, 29111, 49272]]",[224204],[360.00315022468567],[14.304950495049505]
16,mobile,4,"[101, 201]",StrapGA_8b,"[[46310, 11091, 33265, 65697]]",[30175],[47.799079179763794],[12.087128712871287]
17,mobile,4,"[101, 201]",StrapGA_8b,"[[28885, 53059, 78067, 3396]]",[139],[0.21245169639587402],[7.770297029702971]
18,mobile,4,"[101, 201]",StrapGA_8b,"[[66568, 52527, 36715, 56973, 9407]]",[144914],[218.02856349945068],[11.13861386138614]
19,mobile,4,"[101, 201]",StrapGA_8b,"[[68984, 45576, 14788, 36858, 66032, 50404]]",[227550],[360.00680804252625],[12.803960396039605]
