scene_id,mode,n,grid_size,alg,plans,steps,elapsed_times,costs
0,mobile,6,"[101, 201]",StrapGA+S_3b,"[[104668, 9, 13, 89141, 113152, 35926, 65277, 94762, 58134, 8284]]",[188822],[360.00750374794006],[16.25742574257426]
1,mobile,6,"[101, 201]",StrapGA+S_3b,"[[43204, 9438, 27076, 19, 104936, 13659, 109526, 66172, 91165]]",[182688],[360.0049512386322],[17.463366336633662]
2,mobile,6,"[101, 201]",StrapGA+S_3b,"[[5, 17264, 95926, 52579, 112703, 17869, 28384, 63650]]",[187157],[360.0148355960846],[15.857425742574259]
3,mobile,6,"[101, 201]",StrapGA+S_3b,"[[23048, 0, 91958, 78099, 56550, 105514, 5282]]",[67878],[133.08364725112915],[12.786138613861386]
4,mobile,6,"[101, 201]",StrapGA+S_3b,"[[45926, 3088, 24, 119387, 31482, 93466, 63888]]",[17194],[31.396735906600952],[13.47920792079208]
5,mobile,6,"[101, 201]",StrapGA+S_3b,"[[9, 75522, 85431, 7336, 53872, 113818, 36260, 68518]]",[178625],[360.0094783306122],[21.63960396039604]
6,mobile,6,"[101, 201]",StrapGA+S_3b,"[[6, 55870, 86956, 3634, 34314, 112643, 66501]]",[178964],[360.0116174221039],[14.27128712871287]
7,mobile,6,"[101, 201]",StrapGA+S_3b,"[[5845, 107275, 46887, 98074, 36848, 63486, 110465]]",[180016],[339.89496779441833],[12.746534653465348]
8,mobile,6,"[101, 201]",StrapGA+S_3b,"[[92937, 6, 57683, 7, 68069, 29907, 15817, 107593]]",[166875],[360.0145161151886],[17.164356435643562]
9,mobile,6,"[101, 201]",StrapGA+S_3b,"[[111424, 64276, 56255, 87157, 35672, 9425]]",[168137],[360.0004985332489],[22.229702970297033]
10,mobile,6,"[101, 201]",StrapGA+S_3b,"[[65591, 14, 111406, 55366, 97687, 24525, 10033, 27482]]",[173800],[360.01036071777344],[13.085148514851486]
11,mobile,6,"[101, 201]",StrapGA+S_3b,"[[104478, 51003, 26541, 17053, 53165, 71724, 87320]]",[183330],[360.0071566104889],[15.459405940594062]
12,mobile,6,"[101, 201]",StrapGA+S_3b,"[[88859, 117600, 70135, 98376, 31042, 95133, 9203, 47360]]",[171759],[360.01116967201233],[13.104950495049508]
13,mobile,6,"[101, 201]",StrapGA+S_3b,"[[49581, 6, 51028, 13165, 37925, 24, 106845, 84705, 73776]]",[174527],[360.00807523727417],[15.938613861386138]
14,mobile,6,"[101, 201]",StrapGA+S_3b,"[[106066, 92764, 66534, 17372, 30808, 51828, 93352, 7127]]",[163467],[360.0068712234497],[19.085148514851486]
15,mobile,6,"[101, 201]",StrapGA+S_3b,"[[31428, 106538, 14186, 72371, 51205, 87214]]",[176076],[360.01730823516846],[19.97227722772277]
16,mobile,6,"[101, 201]",StrapGA+S_3b,"[[10818, 64229, 86384, 54485, 65022, 108800, 23096]]",[174041],[360.0001652240753],[15.320792079207921]
