scene_id,mode,n,grid_size,alg,plans,steps,elapsed_times,costs
0,stationary,3,"[100, 100]",StrapGA+SS_4b,"[[16390, 2255, 27758]]",[246],[0.4822382926940918],[3.709143352508545]
1,stationary,3,"[100, 100]",StrapGA+SS_4b,"[[11638, 28173, 6245, 26419]]",[1460],[2.91435170173645],[3.814936180114746]
2,stationary,3,"[100, 100]",StrapGA+SS_4b,"[[18647, 5543, 23037]]",[110],[0.1932997703552246],[2.336480188369751]
3,stationary,3,"[100, 100]",StrapGA+SS_4b,"[[2793, 12722, 23860]]",[229],[0.40317344665527344],[3.337744560241699]
4,stationary,3,"[100, 100]",StrapGA+SS_4b,"[[16085, 21639, 4446]]",[119],[0.23400163650512695],[2.4304856204986574]
5,stationary,3,"[100, 100]",StrapGA+SS_4b,"[[23820, 16839, 8564]]",[95],[0.18118858337402344],[3.403990821838379]
6,stationary,3,"[100, 100]",StrapGA+SS_4b,"[[4082, 15757, 6587, 21759]]",[976],[1.9793272018432617],[3.5722315406799314]
7,stationary,3,"[100, 100]",StrapGA+SS_4b,"[[17538, 23880, 4238, 24671]]",[1321],[2.7210795879364014],[3.782632360458374]
8,stationary,3,"[100, 100]",StrapGA+SS_4b,"[[17336, 8167, 26293]]",[853],[1.6303372383117676],[4.0029779815673825]
9,stationary,3,"[100, 100]",StrapGA+SS_4b,"[[28744, 12877, 4431]]",[537],[1.0476696491241455],[3.9369481658935546]
10,stationary,3,"[100, 100]",StrapGA+SS_4b,"[[3441, 28430, 15954]]",[417],[0.7984888553619385],[3.876567211151123]
11,stationary,3,"[100, 100]",StrapGA+SS_4b,"[[16875, 23948, 6440, 14082]]",[3112],[6.114258289337158],[4.176348762512207]
12,stationary,3,"[100, 100]",StrapGA+SS_4b,"[[14431, 21618, 5178]]",[168],[0.32465577125549316],[3.3419047927856447]
13,stationary,3,"[100, 100]",StrapGA+SS_4b,"[[15939, 24793, 5264]]",[43],[0.07684946060180664],[2.7123356151580813]
14,stationary,3,"[100, 100]",StrapGA+SS_4b,"[[1389, 25142, 16887]]",[371],[0.698477029800415],[3.4946051406860352]
15,stationary,3,"[100, 100]",StrapGA+SS_4b,"[[5385, 25319, 17838, 24647]]",[553],[1.0617268085479736],[3.5554761457443242]
16,stationary,3,"[100, 100]",StrapGA+SS_4b,"[[1982, 14626, 27968]]",[266],[0.4874734878540039],[3.513550887107849]
17,stationary,3,"[100, 100]",StrapGA+SS_4b,"[[16272, 3167, 21925]]",[437],[0.8339931964874268],[3.649782428741455]
18,stationary,3,"[100, 100]",StrapGA+SS_4b,"[[7454, 23840, 14590, 7864]]",[1273],[2.433440923690796],[4.060808229446411]
19,stationary,3,"[100, 100]",StrapGA+SS_4b,"[[13535, 7580, 28119]]",[121],[0.20382404327392578],[3.27569730758667]
20,stationary,3,"[100, 100]",StrapGA+SS_4b,"[[12449, 8079, 26333]]",[105],[0.19626903533935547],[2.923102350234985]
21,stationary,3,"[100, 100]",StrapGA+SS_4b,"[[22189, 3623, 14153]]",[216],[0.3914530277252197],[3.5916714668273926]
22,stationary,3,"[100, 100]",StrapGA+SS_4b,"[[3325, 13284, 26769]]",[51],[0.09347391128540039],[3.409093475341797]
23,stationary,3,"[100, 100]",StrapGA+SS_4b,"[[21454, 14125, 6939, 14343]]",[595],[1.1348342895507812],[3.4493977355957033]
24,stationary,3,"[100, 100]",StrapGA+SS_4b,"[[5439, 23889, 18334]]",[71],[0.12416195869445801],[3.3529261779785156]
25,stationary,3,"[100, 100]",StrapGA+SS_4b,"[[26590, 18048, 3956]]",[193],[0.34401774406433105],[3.28122766494751]
26,stationary,3,"[100, 100]",StrapGA+SS_4b,"[[5437, 21755, 16463]]",[153],[0.29706525802612305],[3.0260754966735837]
27,stationary,3,"[100, 100]",StrapGA+SS_4b,"[[8067, 12369, 28642]]",[153],[0.29042887687683105],[3.470052947998047]
28,stationary,3,"[100, 100]",StrapGA+SS_4b,"[[6628, 13334, 5954, 23185]]",[1247],[2.3636560440063477],[3.5318619155883786]
29,stationary,3,"[100, 100]",StrapGA+SS_4b,"[[3543, 26165, 13292]]",[547],[1.0970730781555176],[4.225009346008301]
30,stationary,3,"[100, 100]",StrapGA+SS_4b,"[[7351, 15882, 26219]]",[131],[0.2317061424255371],[2.716009950637818]
31,stationary,3,"[100, 100]",StrapGA+SS_4b,"[[12259, 22384, 6327]]",[410],[0.7448611259460449],[3.649608993530274]
32,stationary,3,"[100, 100]",StrapGA+SS_4b,"[[28181, 14674, 2069, 16253]]",[1120],[2.1715540885925293],[4.347077131271361]
33,stationary,3,"[100, 100]",StrapGA+SS_4b,"[[6351, 25476, 7422, 12550]]",[332],[0.6180503368377686],[3.624651703834534]
34,stationary,3,"[100, 100]",StrapGA+SS_4b,"[[12042, 21288, 5447]]",[155],[0.26950764656066895],[3.2060234642028806]
35,stationary,3,"[100, 100]",StrapGA+SS_4b,"[[25048, 16586, 1626]]",[497],[0.9537632465362549],[3.821973114013672]
36,stationary,3,"[100, 100]",StrapGA+SS_4b,"[[2767, 26556, 17193, 26040]]",[774],[1.5088021755218506],[3.9036240196228027]
37,stationary,3,"[100, 100]",StrapGA+SS_4b,"[[15375, 1945, 28546]]",[93],[0.153472900390625],[2.8586794662475588]
38,stationary,3,"[100, 100]",StrapGA+SS_4b,"[[25984, 8243, 13529]]",[45],[0.07844710350036621],[2.6322446250915528]
39,stationary,3,"[100, 100]",StrapGA+SS_4b,"[[3620, 26918, 16874]]",[140],[0.2438364028930664],[3.2019165611267093]
