scene_id,mode,n,grid_size,alg,plans,steps,elapsed_times,costs
0,stationary,6,"[100, 100]",StrapGA+S_sort_4b,"[[57396, 43317, 5415, 43104, 31247, 25189, 13764]]",[195276],[360.00901222229004],[6.616159133911132]
1,stationary,6,"[100, 100]",StrapGA+S_sort_4b,"[[48363, 27298, 19, 55092, 15, 6448, 34146, 12800]]",[194711],[360.0001358985901],[5.680034160614014]
2,stationary,6,"[100, 100]",StrapGA+S_sort_4b,"[[21577, 51847, 44085, 16884, 39047, 6152]]",[31260],[51.75942134857178],[5.537251443862915]
3,stationary,6,"[100, 100]",StrapGA+S_sort_4b,"[[24, 58782, 44875, 24850, 8208, 11804, 34104]]",[203453],[360.01406049728394],[6.21976454257965]
4,stationary,6,"[100, 100]",StrapGA+S_sort_4b,"[[43441, 7668, 15704, 22315, 51042, 35371]]",[60266],[105.94284534454346],[6.045685396194458]
5,stationary,6,"[100, 100]",StrapGA+S_sort_4b,"[[52745, 38402, 45976, 2775, 25019, 11616]]",[110168],[194.92145085334778],[6.171454429626466]
6,stationary,6,"[100, 100]",StrapGA+S_sort_4b,"[[0, 12054, 4356, 57919, 23, 34220, 41810, 27762]]",[194686],[360.0058059692383],[6.533648471832275]
7,stationary,6,"[100, 100]",StrapGA+S_sort_4b,"[[14209, 36142, 23581, 1188, 24, 59052, 48289]]",[202148],[360.0119342803955],[6.428388175964356]
8,stationary,6,"[100, 100]",StrapGA+S_sort_4b,"[[38606, 24981, 45659, 11774, 51093, 6602]]",[37597],[65.15360450744629],[5.740256090164185]
9,stationary,6,"[100, 100]",StrapGA+S_sort_4b,"[[23093, 12515, 21757, 34662, 56112, 48253, 4690]]",[197267],[360.01195907592773],[6.652219209671021]
