scene_id,mode,n,grid_size,alg,plans,steps,elapsed_times,costs
0,stationary,7,"[100, 100]",Labbe+SS,"[[25789, 2380, 63202, 36850, 12153, 44855, 51526, 44933]]",[53],[0.10330915451049805],[10.695027141571046]
1,stationary,7,"[100, 100]",Labbe+SS,"[[22105, 33830, 55956, 6289, 48853, 12564, 61130]]",[55],[0.08358216285705566],[7.752304801940918]
2,stationary,7,"[100, 100]",Labbe+SS,"[[23679, 4550, 15776, 56104, 64722, 41161, 31921]]",[74],[0.10625219345092773],[7.871226463317871]
3,stationary,7,"[100, 100]",Labbe+SS,"[[21726, 11581, 66557, 58662, 47520, 12868, 5082, 33304]]",[52],[0.1318645477294922],[9.820044326782227]
4,stationary,7,"[100, 100]",Labbe+SS,"[[51974, 18223, 38753, 41514, 63864, 6662, 25019, 43898]]",[46],[0.09771585464477539],[8.532623300552368]
5,stationary,7,"[100, 100]",Labbe+SS,"[[39212, 5863, 18656, 43131, 67199, 20892, 55432, 23098]]",[43],[0.09670615196228027],[8.163726081848145]
6,stationary,7,"[100, 100]",Labbe+SS,"[[69219, 41580, 3672, 21959, 55590, 23011, 17302, 37970]]",[46],[0.10373687744140625],[9.524842910766601]
7,stationary,7,"[100, 100]",Labbe+SS,"[[47823, 64520, 9161, 38890, 13763, 56887, 24800, 51494]]",[49],[0.09879040718078613],[7.921693849563599]
8,stationary,7,"[100, 100]",Labbe+SS,"[[51456, 46993, 26610, 4693, 35374, 67054, 13852]]",[38],[0.07278156280517578],[7.587654705047607]
9,stationary,7,"[100, 100]",Labbe+SS,"[[69124, 38056, 25231, 58685, 16890, 24892, 2225, 48607, 2950]]",[57],[0.1351299285888672],[11.785687332153321]
10,stationary,7,"[100, 100]",Labbe+SS,"[[51714, 18077, 65853, 31461, 46494, 5826, 22786]]",[84],[0.11593174934387207],[7.361268215179443]
11,stationary,7,"[100, 100]",Labbe+SS,"[[38318, 55803, 48967, 61661, 16, 15484, 3317, 21994]]",[35],[0.07109951972961426],[7.846588249206542]
12,stationary,7,"[100, 100]",Labbe+SS,"[[37763, 46819, 20881, 61724, 2872, 59085, 12405]]",[33],[0.06424450874328613],[8.123613529205322]
13,stationary,7,"[100, 100]",Labbe+SS,"[[22299, 64458, 1324, 56229, 48625, 16763, 37203]]",[69],[0.11685824394226074],[7.3937784194946286]
14,stationary,7,"[100, 100]",Labbe+SS,"[[62452, 33201, 59228, 25112, 47510, 12321, 6756, 15684]]",[54],[0.10887455940246582],[10.164297533035278]
