scene_id,mode,n,grid_size,alg,plans,steps,elapsed_times,costs
0,stationary,7,"[101, 101]",StrapGA_4b,"[[37293, 55555, 28164, 41786, 64269, 13010, 53986, 3129]]",[256951],[360.0099353790283],[7.940778851273037]
1,stationary,7,"[101, 101]",StrapGA_4b,"[[6431, 16557, 70346, 42292, 3496, 56833, 35073, 27943]]",[255588],[360.0170347690582],[7.889630663276899]
2,stationary,7,"[101, 101]",StrapGA_4b,"[[47843, 26493, 3910, 34352, 59789, 11521, 62885]]",[209504],[273.1982789039612],[6.521447204363228]
3,stationary,7,"[101, 101]",StrapGA_4b,"[[33025, 69567, 53281, 1131, 33205, 16214, 47376, 23248]]",[265808],[360.0215539932251],[7.703011914999179]
4,stationary,7,"[101, 101]",StrapGA_4b,"[[49951, 21531, 39310, 13950, 62191, 7032, 55511]]",[284012],[360.00236463546753],[7.795354063204019]
5,stationary,7,"[101, 101]",StrapGA_4b,"[[29674, 67198, 34313, 47651, 57984, 6923, 14246]]",[196210],[269.09396839141846],[7.2031216989649405]
6,stationary,7,"[101, 101]",StrapGA_4b,"[[29448, 52204, 38687, 63048, 41880, 4717, 17132, 5752]]",[259373],[360.01410460472107],[7.767164689243429]
7,stationary,7,"[101, 101]",StrapGA_4b,"[[31467, 52393, 24054, 9381, 62513, 14128, 46664]]",[217337],[283.40039587020874],[7.505908554379303]
8,stationary,7,"[101, 101]",StrapGA_4b,"[[54025, 16158, 25831, 34310, 47016, 62081, 1727]]",[274737],[360.01130294799805],[6.2401933943871235]
9,stationary,7,"[101, 101]",StrapGA_4b,"[[17558, 1390, 24294, 63953, 60115, 46516, 34921]]",[78833],[103.31180119514465],[6.776200043328918]
