scene_id,mode,n,grid_size,alg,plans,steps,elapsed_times,costs
0,stationary,4,"[101, 201]",StrapGA+S_4b,"[[67685, 27023, 55808, 4468, 26011]]",[7184],[12.432347536087036],[5.497693099597894]
1,stationary,4,"[101, 201]",StrapGA+S_4b,"[[8, 75864, 3488, 32598, 77334, 46946]]",[7435],[13.469798803329468],[6.184018948998782]
2,stationary,4,"[101, 201]",StrapGA+S_4b,"[[6, 6785, 46627, 77491, 30015]]",[5500],[9.397762298583984],[5.920950785721883]
3,stationary,4,"[101, 201]",StrapGA+S_4b,"[[66845, 7, 27196, 46588, 15210]]",[1435],[2.2227983474731445],[4.6540674360671845]
4,stationary,4,"[101, 201]",StrapGA+S_4b,"[[44046, 73997, 9412, 34858]]",[1858],[3.1105129718780518],[6.593506339044855]
5,stationary,4,"[101, 201]",StrapGA+S_4b,"[[66214, 13550, 67180, 25113, 48985]]",[19411],[35.61973547935486],[6.527814506304146]
6,stationary,4,"[101, 201]",StrapGA+S_4b,"[[66807, 53543, 12608, 35564, 6164, 65774, 52998]]",[170311],[319.5327503681183],[8.658071238451665]
7,stationary,4,"[101, 201]",StrapGA+S_4b,"[[75296, 32203, 14843, 52349, 68129]]",[4776],[9.528233289718628],[7.348522998318813]
8,stationary,4,"[101, 201]",StrapGA+S_4b,"[[24233, 16188, 56947, 68698, 27009]]",[12440],[23.079787254333496],[6.187479524329158]
9,stationary,4,"[101, 201]",StrapGA+S_4b,"[[66123, 57266, 10565, 24644, 13528]]",[24891],[45.5376615524292],[7.483960548249801]
10,stationary,4,"[101, 201]",StrapGA+S_4b,"[[49138, 36923, 14661, 68493]]",[667],[1.1148717403411865],[5.036721293760999]
11,stationary,4,"[101, 201]",StrapGA+S_4b,"[[24672, 12838, 8, 65372, 53350]]",[2123],[3.6585052013397217],[5.942358186929534]
12,stationary,4,"[101, 201]",StrapGA+S_4b,"[[8, 33147, 6673, 75409, 50971]]",[8247],[14.67670750617981],[6.511011284176665]
13,stationary,4,"[101, 201]",StrapGA+S_4b,"[[44169, 65918, 46186, 13248, 32108]]",[22509],[38.25907278060913],[8.118078562292723]
14,stationary,4,"[101, 201]",StrapGA+S_4b,"[[14567, 65498, 48346, 32758]]",[7106],[13.071135520935059],[7.433641233538637]
15,stationary,4,"[101, 201]",StrapGA+S_4b,"[[73477, 7317, 29111, 49272]]",[6933],[12.623562812805176],[6.989356435643565]
16,stationary,4,"[101, 201]",StrapGA+S_4b,"[[8, 65697, 46310, 11091, 33265]]",[3628],[5.988008260726929],[5.6609785816457014]
17,stationary,4,"[101, 201]",StrapGA+S_4b,"[[78067, 28885, 3396, 53059]]",[517],[0.862076997756958],[5.0959248759959]
18,stationary,4,"[101, 201]",StrapGA+S_4b,"[[36715, 66568, 56973, 9407]]",[1642],[2.688511848449707],[5.916993403670812]
19,stationary,4,"[101, 201]",StrapGA+S_4b,"[[11, 14788, 36858, 50404, 66032]]",[14464],[26.769002437591553],[6.4055117616559025]
20,stationary,4,"[101, 201]",StrapGA+S_4b,"[[25318, 8, 66435, 52518, 13967]]",[8828],[15.75461459159851],[6.620372843034197]
21,stationary,4,"[101, 201]",StrapGA+S_4b,"[[27313, 1, 76557, 54305, 14369]]",[13076],[23.06748390197754],[7.252714874720809]
22,stationary,4,"[101, 201]",StrapGA+S_4b,"[[8924, 69190, 7, 32141, 49763]]",[1097],[1.737485408782959],[4.800631792238443]
23,stationary,4,"[101, 201]",StrapGA+S_4b,"[[57213, 70245, 37368, 5466]]",[45030],[83.37309575080872],[7.6982252366471995]
24,stationary,4,"[101, 201]",StrapGA+S_4b,"[[48129, 27289, 64161, 13859]]",[6176],[11.574349641799927],[7.654797174434851]
25,stationary,4,"[101, 201]",StrapGA+S_4b,"[[0, 33133, 5737, 11, 46800, 72892]]",[8387],[14.737364053726196],[6.032160496475673]
26,stationary,4,"[101, 201]",StrapGA+S_4b,"[[27433, 75769, 4881, 47768]]",[1146],[2.0877203941345215],[5.950818380979028]
27,stationary,4,"[101, 201]",StrapGA+S_4b,"[[31463, 52330, 15912, 31527, 69258]]",[23608],[43.624324798583984],[7.346824825400174]
28,stationary,4,"[101, 201]",StrapGA+S_4b,"[[27931, 76420, 1, 49332, 14449]]",[3564],[6.5791027545928955],[6.320570709681746]
29,stationary,4,"[101, 201]",StrapGA+S_4b,"[[64211, 6826, 35962, 54325]]",[467],[0.779813289642334],[5.473813527173334]
30,stationary,4,"[101, 201]",StrapGA+S_4b,"[[69443, 15578, 7, 23975, 55706]]",[520],[0.847404956817627],[7.723887452984801]
31,stationary,4,"[101, 201]",StrapGA+S_4b,"[[7, 6342, 64799, 25490, 57191]]",[10625],[19.098783016204834],[6.5919938040251775]
32,stationary,4,"[101, 201]",StrapGA+S_4b,"[[3, 14020, 5, 63955, 37219, 47988]]",[1644],[2.820667266845703],[6.6485472122041305]
33,stationary,4,"[101, 201]",StrapGA+S_4b,"[[44518, 10608, 27370, 72753]]",[10529],[19.36598229408264],[7.854374052746461]
34,stationary,4,"[101, 201]",StrapGA+S_4b,"[[7785, 50912, 65217, 33960]]",[1811],[3.381823778152466],[6.353026789485818]
35,stationary,4,"[101, 201]",StrapGA+S_4b,"[[34476, 6, 7334, 77440, 50204]]",[9946],[17.94375967979431],[6.843934540701385]
36,stationary,4,"[101, 201]",StrapGA+S_4b,"[[4, 46112, 34201, 65062, 12413]]",[1404],[2.44038987159729],[5.5437510273244115]
37,stationary,4,"[101, 201]",StrapGA+S_4b,"[[15178, 30618, 65064, 47217]]",[967],[1.5894627571105957],[5.486989038297446]
38,stationary,4,"[101, 201]",StrapGA+S_4b,"[[53125, 5374, 76562, 3, 9019, 27636]]",[4446],[7.962101936340332],[6.121900428167665]
39,stationary,4,"[101, 201]",StrapGA+S_4b,"[[27461, 50233, 64950, 15532]]",[18104],[32.64114785194397],[7.064214869773035]
