scene_id,mode,n,grid_size,alg,plans,steps,elapsed_times,costs
0,stationary,6,"[101, 201]",Labbe+S,"[[58134, 113152, 65277, 35926, 8284, 94762]]",[26],[0.03827214241027832],[10.097033219290251]
1,stationary,6,"[101, 201]",Labbe+S,"[[27076, 43204, 91165, 66172, 4, 109526, 13659]]",[33],[0.05793476104736328],[11.89957065771122]
2,stationary,6,"[101, 201]",Labbe+S,"[[95926, 17869, 52579, 63650, 28384, 112703]]",[21],[0.02648305892944336],[11.135940393126837]
3,stationary,6,"[101, 201]",Labbe+S,"[[105514, 78099, 56550, 23048, 22, 5282, 91958]]",[35],[0.06979870796203613],[10.432762225311581]
4,stationary,6,"[101, 201]",Labbe+S,"[[45926, 93466, 63888, 119387, 31482, 3088]]",[21],[0.027301788330078125],[8.835204334070188]
5,stationary,6,"[101, 201]",Labbe+S,"[[7336, 68518, 23249, 85431, 53872, 113818, 36260]]",[30],[0.06600403785705566],[14.626886598190458]
6,stationary,6,"[101, 201]",Labbe+S,"[[34314, 55870, 86956, 3634, 66501, 112643]]",[25],[0.04245162010192871],[10.388583525100557]
7,stationary,6,"[101, 201]",Labbe+S,"[[98074, 36848, 110465, 63486, 46887, 5845]]",[23],[0.03555107116699219],[10.985860297703507]
8,stationary,6,"[101, 201]",Labbe+S,"[[92937, 68069, 107593, 54382, 15817, 29907, 57683]]",[24],[0.04693746566772461],[10.402535281795087]
9,stationary,6,"[101, 201]",Labbe+S,"[[64276, 56255, 9425, 111424, 87157, 35672]]",[25],[0.039875030517578125],[9.722533114593809]
10,stationary,6,"[101, 201]",Labbe+S,"[[65591, 97687, 55931, 111406, 55366, 9, 10033, 27482]]",[34],[0.07890129089355469],[12.883652201737508]
11,stationary,6,"[101, 201]",Labbe+S,"[[87320, 104478, 71724, 30808, 17053, 53165, 26541]]",[30],[0.06399083137512207],[13.074684448997573]
12,stationary,6,"[101, 201]",Labbe+S,"[[31042, 95133, 9203, 47360, 70135, 117600]]",[22],[0.03507375717163086],[8.807323334948851]
13,stationary,6,"[101, 201]",Labbe+S,"[[37925, 51028, 106845, 73776, 84705, 13165]]",[24],[0.0387575626373291],[8.824950201204508]
14,stationary,6,"[101, 201]",Labbe+S,"[[106066, 17, 30808, 93352, 66534, 17671, 51828, 7127]]",[51],[0.22040510177612305],[14.126889555525073]
15,stationary,6,"[101, 201]",Labbe+S,"[[31428, 51205, 14186, 72371, 87214, 106538]]",[21],[0.028136730194091797],[11.916397993635423]
16,stationary,6,"[101, 201]",Labbe+S,"[[10818, 86384, 65022, 54485, 108800, 23096]]",[25],[0.047043800354003906],[10.941367264549331]
17,stationary,6,"[101, 201]",Labbe+S,"[[12507, 15, 35711, 106103, 84685, 58384, 70063]]",[30],[0.05655622482299805],[12.308530641310286]
18,stationary,6,"[101, 201]",Labbe+S,"[[95684, 106939, 31851, 43335, 6526, 73346]]",[21],[0.02725982666015625],[10.340966094366394]
19,stationary,6,"[101, 201]",Labbe+S,"[[57330, 15883, 85631, 31656, 119142, 69509]]",[30],[0.05209207534790039],[10.350639316823225]
20,stationary,6,"[101, 201]",Labbe+S,"[[36991, 7020, 56777, 112778, 96148, 70240]]",[21],[0.03335976600646973],[10.99572851350992]
21,stationary,6,"[101, 201]",Labbe+S,"[[105484, 22808, 17755, 68591, 98816, 50844, 88928]]",[33],[0.062264204025268555],[14.638105509540821]
22,stationary,6,"[101, 201]",Labbe+S,"[[25131, 89010, 49582, 68794, 14600, 110028]]",[28],[0.04558920860290527],[9.711319755327585]
23,stationary,6,"[101, 201]",Labbe+S,"[[66848, 23077, 54717, 96691, 13748, 115887, 88730]]",[33],[0.07061123847961426],[13.08872055204788]
24,stationary,6,"[101, 201]",Labbe+S,"[[57301, 26274, 9132, 84664, 114919, 68057]]",[26],[0.040317535400390625],[9.446139960713905]
25,stationary,6,"[101, 201]",Labbe+S,"[[95430, 45210, 104802, 73769, 24862, 8510]]",[21],[0.027129411697387695],[10.68738186902339]
26,stationary,6,"[101, 201]",Labbe+S,"[[36896, 69450, 90666, 45002, 104267, 9585, 106775]]",[25],[0.046492815017700195],[11.093575830742864]
27,stationary,6,"[101, 201]",Labbe+S,"[[77036, 84695, 54183, 107102, 7570, 36126]]",[26],[0.04420137405395508],[8.078554844620205]
28,stationary,6,"[101, 201]",Labbe+S,"[[47621, 84579, 65223, 37583, 111272, 15384]]",[24],[0.0346982479095459],[8.802909390289004]
