scene_id,mode,n,grid_size,alg,plans,steps,elapsed_times,costs
0,stationary,8,"[101, 201]",Labbe,"[[95777, 154848, 104549, 137212, 8165, 44590, 73956, 33578]]",[118],[0.14036345481872559],[15.771615817759297]
1,stationary,8,"[101, 201]",Labbe,"[[124255, 92489, 66721, 146678, 26858, 12413, 109634, 55593]]",[93],[0.1247854232788086],[14.159965624667633]
2,stationary,8,"[101, 201]",Labbe,"[[114540, 56566, 90648, 153076, 66027, 16512, 126855, 34717]]",[68],[0.08875417709350586],[14.283286780177958]
3,stationary,8,"[101, 201]",Labbe,"[[112400, 66151, 160155, 7390, 54975, 91127, 133075, 37769]]",[92],[0.11465239524841309],[12.336953376543402]
4,stationary,8,"[101, 201]",Labbe,"[[118703, 159227, 14847, 31033, 126506, 86970, 44820, 75582]]",[89],[0.11594009399414062],[16.08039162513053]
5,stationary,8,"[101, 201]",Labbe,"[[117161, 145008, 87880, 10120, 77106, 43148, 130600, 78285, 33897, 75599]]",[58],[0.10853838920593262],[18.437661085978593]
6,stationary,8,"[101, 201]",Labbe,"[[128408, 98201, 146411, 29251, 109549, 63337, 10928, 45153]]",[76],[0.09217071533203125],[15.482046935581925]
7,stationary,8,"[101, 201]",Labbe,"[[124221, 146158, 95592, 45607, 13856, 28869, 110385, 75053]]",[69],[0.0920860767364502],[13.850786696330156]
8,stationary,8,"[101, 201]",Labbe,"[[56206, 113810, 26968, 65453, 7603, 129924, 98857, 157678]]",[74],[0.11161398887634277],[16.05483171821821]
9,stationary,8,"[101, 201]",Labbe,"[[74710, 11524, 149496, 84205, 53779, 118075, 56878, 152763, 31930, 129276, 149058]]",[104],[0.20752716064453125],[17.98696354781047]
10,stationary,8,"[101, 201]",Labbe,"[[77202, 112790, 38362, 152653, 16388, 54199, 92652, 138975, 2696]]",[70],[0.1642444133758545],[14.686499839253946]
11,stationary,8,"[101, 201]",Labbe,"[[89244, 67673, 154862, 115368, 57118, 125527, 36103, 11079]]",[65],[0.08054804801940918],[12.183389178361042]
12,stationary,8,"[101, 201]",Labbe,"[[14049, 55975, 36398, 87510, 112186, 127254, 159146, 64467]]",[75],[0.10543274879455566],[13.380787052494465]
13,stationary,8,"[101, 201]",Labbe,"[[109107, 14810, 49481, 130991, 144988, 63260, 90456, 31668]]",[123],[0.14803218841552734],[10.81512758613813]
14,stationary,8,"[101, 201]",Labbe,"[[58124, 11467, 26569, 97157, 119170, 72310, 146498, 129529]]",[90],[0.1222085952758789],[13.788993076286694]
