scene_id,mode,n,grid_size,alg,plans,steps,elapsed_times,costs
0,mobile,6,"[100, 200]",Labbe+S,"[[35542, 12298, 104096, 84192, 64744, 55451, 33566]]",[42],[0.09827971458435059],[26.040000000000003]
1,mobile,6,"[100, 200]",Labbe+S,"[[115453, 55942, 75797, 5462, 49308, 8, 93754, 24972]]",[43],[0.09886717796325684],[24.720000000000002]
2,mobile,6,"[100, 200]",Labbe+S,"[[22, 104609, 5367, 84318, 30075, 74363, 17, 54943, 74009]]",[52],[0.11581945419311523],[22.2]
3,mobile,6,"[100, 200]",Labbe+S,"[[64106, 14256, 25252, 93910, 44378, 115001, 12555]]",[47],[0.11146116256713867],[21.04]
4,mobile,6,"[100, 200]",Labbe+S,"[[33051, 95306, 15208, 52147, 106797, 64469]]",[27],[0.04912066459655762],[18.540000000000003]
5,mobile,6,"[100, 200]",Labbe+S,"[[7, 15541, 105145, 67196, 54695, 27851, 84901]]",[33],[0.06145334243774414],[23.580000000000002]
6,mobile,6,"[100, 200]",Labbe+S,"[[2, 55257, 6064, 25, 65511, 104557, 23, 35950, 93797]]",[50],[0.11575841903686523],[35.540000000000006]
7,mobile,6,"[100, 200]",Labbe+S,"[[64140, 44854, 115948, 12307, 64599, 84110, 75864, 27778, 47665]]",[96],[0.2198960781097412],[33.31999999999999]
8,mobile,6,"[100, 200]",Labbe+S,"[[12, 27152, 115549, 20, 11508, 68259, 84205, 52400]]",[46],[0.10343146324157715],[33.800000000000004]
9,mobile,6,"[100, 200]",Labbe+S,"[[3, 84762, 44606, 113672, 13178, 9, 65095, 35915]]",[44],[0.09782195091247559],[31.900000000000006]
