scene_id,mode,n,grid_size,alg,plans,steps,elapsed_times,costs
0,stationary,7,"[100, 100]",StrapGA+SS_sort_4b,"[[37401, 68255, 4683, 14756, 44326, 51619, 37427, 27682, 3686]]",[169130],[360.0200102329254],[9.59118161201477]
1,stationary,7,"[100, 100]",StrapGA+SS_sort_4b,"[[2483, 51855, 65155, 1586, 14385, 31817, 24817, 48007, 8280]]",[164399],[360.0236954689026],[10.069997844696042]
2,stationary,7,"[100, 100]",StrapGA+SS_sort_4b,"[[14463, 13, 32817, 5492, 48397, 65625, 27164, 18528, 4264, 55695]]",[170569],[360.0072817802429],[9.919071202278136]
3,stationary,7,"[100, 100]",StrapGA+SS_sort_4b,"[[7995, 45188, 55128, 11419, 31983, 44984, 6156, 28087, 62855, 27911]]",[172771],[360.02489137649536],[11.02679238319397]
4,stationary,7,"[100, 100]",StrapGA+SS_sort_4b,"[[38663, 39, 68490, 44257, 1556, 15591, 52518, 22190, 36425, 46057]]",[176607],[360.02942657470703],[10.5400865650177]
5,stationary,7,"[100, 100]",StrapGA+SS_sort_4b,"[[24958, 4290, 24, 31459, 62519, 48600, 27472, 54262, 2392, 15706]]",[163931],[360.0000112056732],[10.18064528465271]
6,stationary,7,"[100, 100]",StrapGA+SS_sort_4b,"[[2, 46524, 53800, 2728, 16, 61458, 38161, 14168, 27194]]",[172538],[360.02039313316345],[8.931888971328735]
7,stationary,7,"[100, 100]",StrapGA+SS_sort_4b,"[[12, 48321, 55427, 38061, 62520, 11383, 24292, 8089, 33956, 8478]]",[165850],[360.0103769302368],[11.13024130821228]
8,stationary,7,"[100, 100]",StrapGA+SS_sort_4b,"[[51495, 41, 24757, 12128, 5511, 37861, 41855, 64184, 58209]]",[182305],[360.0248529911041],[9.313533782958984]
9,stationary,7,"[100, 100]",StrapGA+SS_sort_4b,"[[38602, 14397, 41628, 65428, 15301, 52401, 5673, 68361, 21469]]",[172914],[360.00525975227356],[9.0015548825264]
