scene_id,mode,n,grid_size,alg,plans,steps,elapsed_times,costs
0,stationary,8,"[100, 100]",StrapGA_sort_4b,"[[12895, 5704, 38514, 66041, 78743, 31370, 18618, 1696, 44212, 1708, 53237, 23872, 36585]]",[199693],[360.00230407714844],[13.345118999481201]
1,stationary,8,"[100, 100]",StrapGA_sort_4b,"[[17523, 17506, 58239, 71339, 15681, 38413, 68374, 45538, 1380, 22514, 45321, 15789]]",[204610],[360.01809000968933],[12.732422366142272]
2,stationary,8,"[100, 100]",StrapGA_sort_4b,"[[74330, 37730, 54576, 1871, 24001, 61308, 27071, 44503, 18101, 72435, 45019]]",[186416],[360.028746843338],[11.765591049194335]
3,stationary,8,"[100, 100]",StrapGA_sort_4b,"[[1509, 46977, 14172, 24007, 51275, 12834, 74079, 67643, 13039, 38717]]",[204695],[360.0296165943146],[10.979028754234312]
4,stationary,8,"[100, 100]",StrapGA_sort_4b,"[[14995, 34043, 7535, 61432, 41576, 38305, 74933, 57476, 14276, 65808, 73443, 23115]]",[190855],[360.0144565105438],[12.718655834197998]
5,stationary,8,"[100, 100]",StrapGA_sort_4b,"[[14112, 35342, 48705, 14793, 1411, 34168, 61737, 24326, 68371, 1821, 71670, 51995, 8432, 71722, 33668]]",[176564],[360.000972032547],[17.724125571250912]
6,stationary,8,"[100, 100]",StrapGA_sort_4b,"[[34741, 24915, 58341, 35243, 72417, 42542, 14069, 61474, 78316, 2213, 27086, 3907]]",[199147],[360.0257258415222],[12.225601525306702]
7,stationary,8,"[100, 100]",StrapGA_sort_4b,"[[22705, 32234, 58829, 78799, 5369, 48671, 52676, 8327, 65369, 25225, 12501, 26299, 6725]]",[202474],[360.02304005622864],[12.132018923759459]
8,stationary,8,"[100, 100]",StrapGA_sort_4b,"[[65043, 4499, 58501, 27372, 18028, 64674, 75424, 1773, 45799, 32123]]",[216521],[360.02785658836365],[10.08727792739868]
9,stationary,8,"[100, 100]",StrapGA_sort_4b,"[[11339, 61513, 44468, 28492, 38342, 11439, 7817, 15095, 71543, 54627, 61584, 31817, 8621, 56023]]",[184795],[360.0246021747589],[15.068936467170715]
